"Date","Time","Open","High","Low","Close","Up","Down","Vol","VolAvg","VWAP","UpperBand","LowerBand","MidLine","ParCl"
02/03/2020,16:35,29.30,29.39,29.20,29.33,4870,300,0.00,0.00,0.00,0.00,0.00,0.00,0.00
02/03/2020,16:40,29.42,29.47,29.37,29.37,800,800,0.00,0.00,29.41,0.00,0.00,0.00,29.37
02/03/2020,16:45,29.38,29.48,29.38,29.46,2200,2449,0.00,0.00,29.42,0.00,0.00,0.00,29.20
02/03/2020,16:50,29.49,29.59,29.49,29.56,2578,2950,0.00,0.00,29.47,0.00,0.00,0.00,29.21
02/03/2020,16:55,29.57,29.57,29.47,29.49,1200,1500,0.00,0.00,29.48,0.00,0.00,0.00,29.23
02/03/2020,17:00,29.48,29.48,29.44,29.44,1018,1600,0.00,0.00,29.48,0.00,0.00,0.00,29.26
02/03/2020,17:05,29.46,29.62,29.45,29.60,2948,1950,0.00,0.00,29.49,0.00,0.00,0.00,29.28
02/03/2020,17:10,29.61,29.61,29.54,29.57,709,1500,0.00,0.00,29.50,0.00,0.00,0.00,29.30
02/03/2020,17:15,29.59,29.63,29.58,29.60,920,1500,0.00,0.00,29.51,0.00,0.00,0.00,29.33
02/03/2020,17:20,29.60,29.64,29.57,29.61,3114,2800,0.00,0.00,29.53,0.00,0.00,0.00,29.36
02/03/2020,17:25,29.59,29.61,29.57,29.60,1100,1100,0.00,0.00,29.53,0.00,0.00,0.00,29.39
02/03/2020,17:30,29.64,29.66,29.64,29.64,738,200,0.00,0.00,29.53,0.00,0.00,0.00,29.42
02/03/2020,17:35,29.64,29.66,29.62,29.62,900,2739,0.00,0.00,29.54,0.00,0.00,0.00,29.46
02/03/2020,17:40,29.62,29.62,29.60,29.61,400,800,0.00,0.00,29.54,0.00,0.00,0.00,29.48
02/03/2020,17:45,29.58,29.62,29.55,29.57,1083,2200,0.00,0.00,29.55,0.00,0.00,0.00,29.51
02/03/2020,17:50,29.56,29.56,29.53,29.54,1300,1632,0.00,0.00,29.55,0.00,0.00,0.00,29.53
02/03/2020,17:55,29.53,29.56,29.51,29.55,1600,2500,0.00,0.00,29.55,0.00,0.00,0.00,29.66
02/03/2020,18:00,29.55,29.58,29.55,29.58,2350,800,0.00,0.00,29.55,0.00,0.00,0.00,29.66
02/03/2020,18:05,29.58,29.58,29.56,29.57,3060,1900,0.00,0.00,29.55,0.00,0.00,0.00,29.65
02/03/2020,18:10,29.57,29.59,29.56,29.58,2028,1500,0.00,0.00,29.55,0.00,0.00,0.00,29.65
02/03/2020,18:15,29.58,29.59,29.53,29.53,445,2900,0.00,0.00,29.55,0.00,0.00,0.00,29.65
02/03/2020,18:20,29.53,29.58,29.53,29.58,3650,5630,0.00,0.00,29.55,0.00,0.00,0.00,29.65
02/03/2020,18:25,29.56,29.57,29.56,29.57,500,800,0.00,0.00,29.55,0.00,0.00,0.00,29.64
02/03/2020,18:30,29.58,29.58,29.54,29.55,1600,2100,0.00,0.00,29.55,0.00,0.00,0.00,29.64
02/03/2020,18:35,29.55,29.56,29.54,29.56,6143,1726,0.00,0.00,29.55,29.68,29.49,29.58,29.64
02/03/2020,18:40,29.55,29.55,29.46,29.49,944,4084,0.00,0.00,29.55,29.66,29.48,29.57,29.64
02/03/2020,18:45,29.49,29.49,29.46,29.46,400,1000,0.00,0.00,29.55,29.63,29.47,29.55,29.63
02/03/2020,18:50,29.45,29.45,29.44,29.45,200,600,0.00,0.00,29.55,29.60,29.45,29.53,29.62
02/03/2020,18:55,29.45,29.47,29.43,29.47,2600,1400,0.00,0.00,29.54,29.57,29.44,29.50,29.61
02/03/2020,19:00,29.47,29.51,29.47,29.51,1791,100,0.00,0.00,29.54,29.55,29.43,29.49,29.60
02/03/2020,19:05,29.52,29.53,29.49,29.53,3462,4233,0.00,0.00,29.54,29.55,29.42,29.48,29.58
02/03/2020,19:10,29.53,29.53,29.51,29.51,500,1902,0.00,0.00,29.54,29.55,29.42,29.48,29.57
02/03/2020,19:15,29.51,29.56,29.50,29.55,6606,1300,0.00,0.00,29.54,29.55,29.42,29.49,29.43
02/03/2020,19:20,29.55,29.56,29.55,29.55,100,600,0.00,0.00,29.54,29.56,29.42,29.49,29.43
02/03/2020,19:25,29.56,29.60,29.54,29.59,5959,5193,0.00,0.00,29.54,29.58,29.43,29.50,29.44
02/03/2020,19:30,29.59,29.60,29.59,29.60,600,931,0.00,0.00,29.54,29.60,29.43,29.51,29.44
02/03/2020,19:35,29.60,29.62,29.58,29.58,1700,7591,0.00,0.00,29.55,29.61,29.44,29.53,29.45
02/03/2020,19:40,29.58,29.59,29.57,29.57,200,900,0.00,0.00,29.55,29.63,29.45,29.54,29.46
02/03/2020,19:45,29.59,29.61,29.59,29.60,1624,2714,0.00,0.00,29.55,29.64,29.45,29.55,29.47
02/03/2020,19:50,29.59,29.61,29.58,29.60,3345,1900,0.00,0.00,29.55,29.65,29.47,29.56,29.48
02/03/2020,19:55,29.60,29.61,29.60,29.60,2681,2138,0.00,0.00,29.55,29.66,29.48,29.57,29.49
02/03/2020,20:00,29.60,29.61,29.60,29.60,1200,4653,0.00,0.00,29.55,29.67,29.49,29.58,29.49
02/03/2020,20:05,29.60,29.61,29.60,29.60,500,6057,0.00,0.00,29.56,29.68,29.51,29.59,29.50
02/03/2020,20:10,29.60,29.60,29.59,29.60,300,2900,0.00,0.00,29.56,29.68,29.53,29.60,29.51
02/03/2020,20:15,29.59,29.67,29.59,29.64,6114,5576,0.00,0.00,29.56,29.68,29.55,29.62,29.52
02/03/2020,20:20,29.64,29.65,29.64,29.65,2100,1400,0.00,0.00,29.56,29.69,29.57,29.63,29.53
02/03/2020,20:25,29.65,29.65,29.65,29.65,6624,0,0.00,0.00,29.57,29.69,29.60,29.64,29.54
02/03/2020,20:30,29.65,29.68,29.65,29.67,5481,1613,0.00,0.00,29.57,29.70,29.61,29.66,29.55
02/03/2020,20:35,29.67,29.67,29.63,29.66,1541,1601,0.00,0.00,29.57,29.70,29.62,29.66,29.56
02/03/2020,20:40,29.65,29.68,29.65,29.68,724,751,0.00,0.00,29.57,29.71,29.63,29.67,29.57
02/03/2020,20:45,29.68,29.69,29.67,29.67,511,1900,2411.00,4176.08,29.57,29.71,29.64,29.67,29.58
02/03/2020,20:50,29.66,29.67,29.66,29.66,1000,1300,2300.00,4190.08,29.57,29.71,29.64,29.68,29.60
02/03/2020,20:55,29.66,29.66,29.49,29.52,10119,45910,56029.00,5217.68,29.58,29.72,29.62,29.67,29.69
02/03/2020,21:00,29.51,29.55,29.51,29.55,1000,600,1600.00,5139.12,29.57,29.72,29.59,29.66,29.69
