"Date","Time","Open","High","Low","Close","Vol","OI","Vol","VolAvg","VWAP","UpperBand","LowerBand","MidLine","ParCl"
02/03/2020,16:35,138.17,138.93,137.99,138.77,159381,178278,0.00,0.00,0.00,0.00,0.00,0.00,0.00
02/03/2020,16:40,138.81,139.07,138.70,138.84,66415,41508,0.00,0.00,138.85,0.00,0.00,0.00,138.70
02/03/2020,16:45,138.86,138.93,138.54,138.62,20470,26875,0.00,0.00,138.82,0.00,0.00,0.00,137.99
02/03/2020,16:50,138.61,138.81,138.47,138.53,24678,35784,0.00,0.00,138.76,0.00,0.00,0.00,138.01
02/03/2020,16:55,138.52,138.80,138.50,138.77,22386,12966,0.00,0.00,138.74,0.00,0.00,0.00,138.03
02/03/2020,17:00,138.81,138.91,138.74,138.75,33378,20042,0.00,0.00,138.75,0.00,0.00,0.00,138.05
02/03/2020,17:05,138.88,139.30,138.80,139.08,138914,77972,0.00,0.00,138.86,0.00,0.00,0.00,138.07
02/03/2020,17:10,139.08,139.08,138.58,138.87,28085,48100,0.00,0.00,138.87,0.00,0.00,0.00,138.12
02/03/2020,17:15,138.90,139.07,138.84,138.96,5542,8284,0.00,0.00,138.87,0.00,0.00,0.00,138.17
02/03/2020,17:20,138.95,139.07,138.84,139.01,18575,13953,0.00,0.00,138.87,0.00,0.00,0.00,138.22
02/03/2020,17:25,139.05,139.05,138.89,138.95,4661,5668,0.00,0.00,138.88,0.00,0.00,0.00,138.26
02/03/2020,17:30,138.99,139.29,138.99,139.23,33093,11278,0.00,0.00,138.89,0.00,0.00,0.00,138.30
02/03/2020,17:35,139.27,139.32,139.19,139.27,25576,13760,0.00,0.00,138.91,0.00,0.00,0.00,138.34
02/03/2020,17:40,139.30,139.57,139.29,139.49,31885,15475,0.00,0.00,138.94,0.00,0.00,0.00,138.40
02/03/2020,17:45,139.48,139.52,139.39,139.40,83588,41115,0.00,0.00,139.01,0.00,0.00,0.00,138.49
02/03/2020,17:50,139.39,139.40,139.20,139.20,67479,37058,0.00,0.00,139.04,0.00,0.00,0.00,138.58
02/03/2020,17:55,139.17,139.22,139.06,139.13,23209,22843,0.00,0.00,139.05,0.00,0.00,0.00,138.66
02/03/2020,18:00,139.16,139.25,139.07,139.24,16321,19653,0.00,0.00,139.05,0.00,0.00,0.00,138.73
02/03/2020,18:05,139.24,139.35,139.21,139.34,29601,16020,0.00,0.00,139.06,0.00,0.00,0.00,138.80
02/03/2020,18:10,139.35,139.58,139.22,139.47,22173,8659,0.00,0.00,139.07,0.00,0.00,0.00,138.86
02/03/2020,18:15,139.46,139.53,139.12,139.24,13081,18668,0.00,0.00,139.08,0.00,0.00,0.00,138.93
02/03/2020,18:20,139.27,139.36,139.17,139.36,16857,7526,0.00,0.00,139.08,0.00,0.00,0.00,139.00
02/03/2020,18:25,139.36,139.49,139.23,139.38,24662,11995,0.00,0.00,139.09,0.00,0.00,0.00,139.06
02/03/2020,18:30,139.40,139.40,139.25,139.25,10064,11025,0.00,0.00,139.09,0.00,0.00,0.00,139.11
02/03/2020,18:35,139.26,139.33,139.17,139.23,18069,14867,0.00,0.00,139.10,139.77,139.16,139.47,139.15
02/03/2020,18:40,139.23,139.24,138.96,138.98,11688,31938,0.00,0.00,139.10,139.74,139.10,139.42,139.58
02/03/2020,18:45,139.00,139.10,138.81,138.98,20726,25071,0.00,0.00,139.09,139.69,139.02,139.36,139.57
02/03/2020,18:50,138.97,138.97,138.81,138.89,33628,24996,0.00,0.00,139.08,139.65,138.92,139.29,139.54
02/03/2020,18:55,138.88,138.97,138.82,138.94,10100,6050,0.00,0.00,139.08,139.59,138.84,139.21,139.51
02/03/2020,19:00,138.97,139.10,138.96,139.06,13144,8523,0.00,0.00,139.08,139.53,138.78,139.15,139.48
02/03/2020,19:05,139.05,139.20,139.02,139.17,12625,10964,0.00,0.00,139.08,139.46,138.75,139.11,139.45
02/03/2020,19:10,139.16,139.18,138.94,138.96,17974,13764,0.00,0.00,139.08,139.38,138.74,139.06,139.43
02/03/2020,19:15,138.97,139.03,138.83,139.03,13177,13369,0.00,0.00,139.08,139.31,138.74,139.02,139.40
02/03/2020,19:20,139.05,139.22,139.05,139.19,23363,27189,0.00,0.00,139.08,139.27,138.73,139.00,139.38
02/03/2020,19:25,139.21,139.37,139.20,139.36,37900,8010,0.00,0.00,139.09,139.29,138.73,139.01,138.81
02/03/2020,19:30,139.35,139.39,139.28,139.28,17618,26903,0.00,0.00,139.09,139.35,138.74,139.04,138.82
02/03/2020,19:35,139.29,139.32,139.19,139.20,9320,5638,0.00,0.00,139.09,139.40,138.76,139.08,138.84
02/03/2020,19:40,139.18,139.23,139.15,139.20,5000,8359,0.00,0.00,139.09,139.42,138.77,139.09,138.87
02/03/2020,19:45,139.22,139.34,139.19,139.31,6288,4050,0.00,0.00,139.10,139.43,138.78,139.11,138.89
02/03/2020,19:50,139.29,139.38,139.19,139.37,17085,6300,0.00,0.00,139.10,139.47,138.80,139.13,138.91
02/03/2020,19:55,139.36,139.47,139.34,139.44,4955,7300,0.00,0.00,139.10,139.52,138.84,139.18,138.93
02/03/2020,20:00,139.44,139.58,139.44,139.51,5036,4920,0.00,0.00,139.10,139.58,138.90,139.24,138.96
02/03/2020,20:05,139.54,139.55,139.48,139.54,3834,2005,0.00,0.00,139.10,139.65,138.98,139.32,139.01
02/03/2020,20:10,139.56,139.62,139.46,139.50,16140,18967,0.00,0.00,139.11,139.69,139.08,139.39,139.05
02/03/2020,20:15,139.48,139.52,139.22,139.29,23369,28779,0.00,0.00,139.12,139.71,139.17,139.44,139.11
02/03/2020,20:20,139.29,139.35,139.22,139.33,20265,14012,0.00,0.00,139.12,139.71,139.24,139.48,139.16
02/03/2020,20:25,139.32,139.42,139.30,139.41,9689,5716,0.00,0.00,139.12,139.71,139.28,139.49,139.21
02/03/2020,20:30,139.40,139.44,139.20,139.22,21946,51632,0.00,0.00,139.13,139.72,139.27,139.50,139.62
02/03/2020,20:35,139.22,139.36,139.18,139.29,12517,8191,0.00,0.00,139.13,139.72,139.24,139.48,139.61
02/03/2020,20:40,139.28,139.48,139.25,139.48,6531,8600,0.00,0.00,139.13,139.72,139.22,139.47,139.59
02/03/2020,20:45,139.48,139.51,139.38,139.42,8797,12923,21720.00,41734.80,139.14,139.71,139.21,139.46,139.58
02/03/2020,20:50,139.41,139.48,139.33,139.47,11194,7305,18499.00,39946.32,139.14,139.72,139.22,139.47,139.56
02/03/2020,20:55,139.44,139.45,139.30,139.40,5310,12446,17756.00,39354.54,139.14,139.71,139.23,139.47,139.55
02/03/2020,21:00,139.39,139.50,139.39,139.48,26935,6158,33093.00,38807.16,139.15,139.69,139.24,139.46,139.53
02/03/2020,21:05,139.48,139.48,139.30,139.34,7810,4700,12510.00,38350.32,139.15,139.66,139.24,139.45,139.52
02/03/2020,21:10,139.33,139.33,139.21,139.23,15160,10342,25502.00,37791.96,139.15,139.64,139.22,139.43,139.50
02/03/2020,21:15,139.23,139.26,139.10,139.10,12433,17103,29536.00,34044.96,139.15,139.62,139.17,139.39,139.49
02/03/2020,21:20,139.14,139.22,139.13,139.15,15730,16324,32054.00,33162.34,139.15,139.59,139.11,139.35,139.47
02/03/2020,21:25,139.16,139.28,139.15,139.16,12890,21428,34318.00,33572.18,139.15,139.54,139.06,139.30,139.45
02/03/2020,21:30,139.19,139.29,139.18,139.20,8006,22839,30845.00,33538.52,139.15,139.48,139.02,139.25,139.43
02/03/2020,21:35,139.21,139.27,139.14,139.16,7590,13986,21576.00,33763.46,139.15,139.43,139.00,139.21,139.41
02/03/2020,21:40,139.14,139.30,139.14,139.29,10606,17802,28408.00,33444.20,139.15,139.40,138.99,139.19,139.39
02/03/2020,21:45,139.29,139.50,139.21,139.49,16564,7240,23804.00,33133.56,139.16,139.42,138.98,139.20,139.10
02/03/2020,21:50,139.49,139.52,139.43,139.47,3650,10500,14150.00,32469.36,139.16,139.47,138.99,139.23,139.11
